material_line,mu,part_number,OD_mm,ID_mm,HT_mm,Ae_mm2,Le_mm,Ve_cm3,Wa_mm2,Ap_mm4,AL_min_nH,AL_nom_nH,AL_max_nH,AL_tolerance_pct,MLT_0wf,MLT_20wf,MLT_25wf,MLT_30wf,MLT_35wf,MLT_40wf,MLT_45wf,MLT_50wf,MLT_60wf,MLT_70wf,wound_OD_40wf_mm,wound_HT_40wf_mm,wound_OD_max_mm,wound_HT_max_mm,SA_core_mm2,SA_40wf_mm2,awg_sl_min,awg_sl_max,awg_sl_count,awg_sl_turns_rdc,note,coated,coating_note,datasheet_url,data_source
Kool Mu,19,0077417A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,10,11.0,12,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077417A7.pdf,MagInc_2025_catalog
MPP,19,0055417A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,10,11.0,12,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055417A2.pdf,MagInc_2025_catalog
Kool Mu,26,0077412A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,13,14.0,15,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077412A7.pdf,MagInc_2025_catalog
High Flux,26,0058412A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,13,14.0,15,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058412A2.pdf,MagInc_2025_catalog
MPP,26,0055412A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,13,14.0,15,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055412A2.pdf,MagInc_2025_catalog
Kool Mu,40,0077403A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,20,22.0,24,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077403A7.pdf,MagInc_2025_catalog
High Flux,40,0058403A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,20,22.0,24,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058403A2.pdf,MagInc_2025_catalog
MPP,40,0055403A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,20,22.0,24,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055403A2.pdf,MagInc_2025_catalog
Kool Mu,60,0077411A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,30,33.0,36,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077411A7.pdf,MagInc_2025_catalog
High Flux,60,C058411A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,30,33.0,36,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058411A2.pdf,MagInc_2025_catalog
MPP,60,0055411A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,30,33.0,36,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055411A2.pdf,MagInc_2025_catalog
Kool Mu,75,0077415A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,39,42.0,45,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077415A7.pdf,MagInc_2025_catalog
High Flux,75,0058415A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,39,42.0,45,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058415A2.pdf,MagInc_2025_catalog
MPP,75,0055415A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,39,42.0,45,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055415A2.pdf,MagInc_2025_catalog
Kool Mu,90,0077414A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,46,50.0,54,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077414A7.pdf,MagInc_2025_catalog
High Flux,90,0058414A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,46,50.0,54,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058414A2.pdf,MagInc_2025_catalog
MPP,90,0055414A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,46,50.0,54,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055414A2.pdf,MagInc_2025_catalog
Kool Mu,125,0077410A7,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,64,70.0,76,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077410A7.pdf,MagInc_2025_catalog
High Flux,125,C058410A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,64,70.0,76,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058410A2.pdf,MagInc_2025_catalog
MPP,125,C055410A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,64,70.0,76,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055410A2.pdf,MagInc_2025_catalog
High Flux,147,0058409A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,75,81.0,87,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058409A2.pdf,MagInc_2025_catalog
MPP,147,C055409A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,75,81.0,87,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055409A2.pdf,MagInc_2025_catalog
High Flux,160,C058408A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,82,89.0,96,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058408A2.pdf,MagInc_2025_catalog
MPP,160,C055408A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,82,89.0,96,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055408A2.pdf,MagInc_2025_catalog
MPP,173,C055404A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,87,95.0,103,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055404A2.pdf,MagInc_2025_catalog
MPP,200,C055407A2,7.49,3.45,5.72,7.2,16.5,0.12,9.3,68.0,103,112.0,121,8,15.5,16.4,16.6,16.8,17.0,17.3,17.5,17.8,18.3,18.9,8.1,6.8,9.6,10.0,260.0,330.0,22,41,18,AWG22:12T/0.0116ohm; AWG23:14T/0.0168ohm; AWG26:20T/0.0465ohm; AWG27:23T/0.0663ohm; AWG28:26T/0.0942ohm; AWG29:29T/0.129ohm; AWG30:33T/0.187ohm; AWG31:37T/0.262ohm; AWG32:41T/0.358ohm; AWG33:47T/0.518ohm; AWG34:53T/0.752ohm; AWG35:60T/1.05ohm; AWG36:67T/1.47ohm; AWG37:74T/1.99ohm; AWG38:83T/2.82ohm; AWG39:96T/4.24ohm; AWG40:109T/6.11ohm; AWG41:122T/8.37ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055407A2.pdf,MagInc_2025_catalog
